policy,seed,steps,households,gini_assets,gini_income,poverty_rate,means_tested_poverty_rate,unemployment_rate,labor_participation,avg_wage,treasury,avg_deficit_last20,tax_revenue,ubi_spending,targeted_spending,false_positive_spending,false_negative_amount
"Mixed, 15% error",24,80,234.0,0.4251648418892586,0.4269421398065827,0.36752136752136755,0.33760683760683763,0.375,0.906801007556675,1514.520904697513,7565805.626371293,-114207.17807782954,181364.67807782954,43100.0,19057.5,1975.5,3093.0
"Mixed, 15% error",25,80,234.0,0.4489660815355818,0.38137124678438994,0.2606837606837607,0.2606837606837607,0.02476780185758514,0.8753387533875339,1911.771172199775,4430122.144837928,-59192.098764167655,130366.59876416766,41075.0,26599.5,1312.5,4674.0
"Mixed, 15% error",26,80,241.0,0.4730090927559967,0.4511016456975201,0.33195020746887965,0.3112033195020747,0.19767441860465115,0.8664987405541562,1974.6588244701968,7039318.336601555,-98296.6396362495,166003.1396362495,43265.0,22441.5,2053.5,3570.0
"Mixed, 15% error",27,80,242.0,0.4782480541080596,0.4524216497959299,0.30578512396694213,0.2892561983471074,0.2915601023017903,0.8967889908256881,2140.8970696364213,9205112.099940915,-128719.67996707822,204780.64837853258,47185.0,23376.0,2338.5,3408.0
"Mixed, 15% error",28,80,242.0,0.49932029371357767,0.45165620082240365,0.32644628099173556,0.3181818181818182,0.15476190476190477,0.8593350383631714,1866.397115674309,7367230.205765271,-114350.45384767934,186011.6490439758,45915.0,21564.0,2418.0,3670.5
"Mixed, 15% error",29,80,241.0,0.4578391887701869,0.4082955701572051,0.35269709543568467,0.38589211618257263,0.3096590909090909,0.8543689320388349,1401.6640810313618,4319540.745783491,-46859.27678363515,124240.91802591392,43375.0,29229.0,967.5,4726.5
"Mixed, 15% error",30,80,233.0,0.5216642992703422,0.4469589809272252,0.33476394849785407,0.33476394849785407,0.20677966101694914,0.8126721763085399,1955.2644029040932,6458353.487010019,-80115.96149272923,148682.9614927292,41080.0,23487.0,1848.0,3955.5
"Mixed, 15% error",31,80,240.0,0.47855042426279426,0.42541095846733024,0.26666666666666666,0.2791666666666667,0.12893982808022922,0.8470873786407767,2168.7159517407063,7443172.645392781,-105392.746911157,178098.74691115698,44535.0,22671.0,2139.0,3426.0
"Mixed, 15% error",32,80,242.0,0.48099064509280787,0.45169730436527256,0.34297520661157027,0.34297520661157027,0.2267080745341615,0.8563829787234043,1784.2859930906789,6885918.652467807,-91590.12708344762,160462.6270834476,42790.0,22582.5,1767.0,3523.5
"Mixed, 15% error",33,80,240.0,0.487128656655063,0.4456474295887196,0.3625,0.4125,0.2857142857142857,0.849009900990099,1542.2456658769675,5297061.161276691,-65241.64094679599,134802.140946796,42855.0,25705.5,1407.0,4093.5
"Mixed, 15% error",34,80,240.0,0.45251829278692424,0.44296618011078315,0.325,0.32916666666666666,0.21220930232558138,0.8708860759493671,1819.4754502179037,6318143.662074651,-96855.29626887306,164721.6421097768,43125.0,20758.5,2088.0,3532.5
"Mixed, 15% error",35,80,232.0,0.46192854526579596,0.43998067510748173,0.3275862068965517,0.2974137931034483,0.22658610271903323,0.8487179487179487,1873.8306382951298,6727125.877747875,-80174.10234073784,149173.0200791337,40880.0,22069.5,1560.0,3315.0
"Mixed, 15% error",36,80,241.0,0.4745168411513021,0.4433966572976098,0.34439834024896265,0.34854771784232363,0.22935779816513763,0.8406169665809768,1718.8870424430304,5732164.059330181,-93971.0216627992,162316.26608088863,42820.0,22600.5,1722.0,3855.0
"Mixed, 15% error",37,80,242.0,0.4597945545335693,0.4140464711461851,0.2644628099173554,0.2727272727272727,0.19946091644204852,0.8648018648018648,1893.4593915031244,6831755.750538105,-101184.3091065179,171460.3091065179,45310.0,23466.0,1735.5,3565.5
"Mixed, 15% error",38,80,238.0,0.4458105474536471,0.3989321139033484,0.24369747899159663,0.27310924369747897,0.11388888888888889,0.8653846153846154,1974.8158168928287,6535829.356329196,-86063.94643574246,158459.92945759307,44595.0,23353.5,1815.0,3984.0
"Mixed, 15% error",39,80,242.0,0.4639299680399629,0.4504529146827041,0.35537190082644626,0.32644628099173556,0.2476489028213166,0.8552278820375335,1840.8394011563787,6963577.561860186,-100553.65238624826,168380.7901734735,43735.0,20688.0,2034.0,3612.0
"Mixed, 15% error",40,80,229.0,0.49338343604596835,0.4311345802146582,0.31004366812227074,0.3231441048034934,0.26495726495726496,0.8709677419354839,2009.725041249027,7137039.637888468,-98711.55436669647,170780.05436669645,43445.0,22123.5,1938.0,3541.5
